date,produto,provincia,demanda
2024-01,milho,Luanda,70
2024-02,milho,Luanda,72
2024-01,milho,Benguela,60
2024-01,milho,Huambo,50
2024-02,milho,Huila,55
2024-03,milho,Lunda_Sul,65
2024-03,milho,Moxico,63
2025-01,milho,Huambo,70
2026-01,milho,Luanda,95

2024-01,arroz,Luanda,80
2024-02,arroz,Benguela,75
2024-04,arroz,Namibe,78
2024-04,arroz,Cabinda,88
2024-05,arroz,Uige,76
2024-12,arroz,Luanda,90
2025-01,arroz,Luanda,92
2025-01,arroz,Cabinda,95

2024-03,feijao,Luanda,65
2024-03,feijao,Huambo,55
2024-05,feijao,Malanje,60
2024-06,feijao,Bie,58
2024-06,feijao,Zaire,70
2025-01,feijao,Uige,68
2025-01,feijao,Uige,80
2026-01,feijao,Luanda,80

2024-01,tomate,Luanda,75
2024-02,tomate,Benguela,70
2024-03,tomate,Huambo,65
2024-04,tomate,Huila,68
2024-05,tomate,Moxico,72
2024-06,tomate,Lunda_Sul,74
2024-07,tomate,Malanje,73
2024-08,tomate,Uige,76
2024-09,tomate,Cabinda,78
2024-10,tomate,Namibe,69
2024-11,tomate,Bie,66
2024-12,tomate,Zaire,75
2025-01,tomate,Luanda,80
2025-01,tomate,Benguela,75
2025-01,tomate,Huambo,72
2026-01,tomate,Luanda,85

2024-01,mandioca,Luanda,70
2024-02,mandioca,Benguela,68
2024-03,mandioca,Huambo,65
2024-04,mandioca,Huila,67
2024-05,mandioca,Moxico,69
2024-06,mandioca,Lunda_Sul,70
2024-07,mandioca,Malanje,72
2024-08,mandioca,Uige,73
2024-09,mandioca,Cabinda,75
2024-10,mandioca,Namibe,68
2024-11,mandioca,Bie,66
2024-12,mandioca,Zaire,72
2025-01,mandioca,Luanda,75
2025-01,mandioca,Benguela,72
2025-01,mandioca,Huambo,70
2026-01,mandioca,Luanda,80

2024-01,cebola,Luanda,75
2024-02,cebola,Benguela,70
2024-03,cebola,Huambo,65
2024-04,cebola,Huila,68
2024-05,cebola,Moxico,72
2024-06,cebola,Lunda_Sul,74
2024-07,cebola,Malanje,73
2024-08,cebola,Uige,76
2024-09,cebola,Cabinda,78
2024-10,cebola,Namibe,69
2024-11,cebola,Bie,66
2024-12,cebola,Zaire,75
2025-01,cebola,Luanda,80
2025-01,cebola,Benguela,75
2025-01,cebola,Huambo,72
2026-01,cebola,Luanda,85
