produto,provincia,mes,ano,preco,clima,quantidade_produzida,custo_transporte,inflacao,demanda_historica
milho,Luanda,1,2024,1200,chuva,500,200,8.2,70
milho,Luanda,2,2024,1300,chuva,520,210,8.1,72
milho,Benguela,1,2024,1000,sol,480,180,8.0,60
milho,Huambo,1,2024,950,frio,420,150,7.8,50
milho,Huila,2,2024,1100,sol,430,160,7.9,55
milho,Lunda_Sul,3,2024,1800,chuva,500,210,8.0,65
milho,Moxico,3,2024,1750,chuva,480,200,8.0,63
milho,Huambo,1,2025,1450,frio,520,190,8.2,70
milho,Luanda,1,2026,3350,chuva,800,350,9.0,95

arroz,Luanda,1,2024,2000,chuva,600,250,8.3,80
arroz,Benguela,2,2024,1800,sol,580,240,8.1,75
arroz,Namibe,4,2024,2100,sol,600,260,8.3,78
arroz,Cabinda,4,2024,2600,chuva,620,300,8.6,88
arroz,Uige,5,2024,2050,chuva,590,250,8.2,76
arroz,Luanda,12,2024,2400,chuva,650,270,8.6,90
arroz,Luanda,1,2025,2600,chuva,700,280,8.5,92
arroz,Cabinda,1,2025,2900,chuva,720,320,8.7,95

feijao,Luanda,3,2024,1500,chuva,450,190,8.0,65
feijao,Huambo,3,2024,1100,frio,400,160,7.9,55
feijao,Malanje,5,2024,1200,chuva,430,170,8.0,60
feijao,Bie,6,2024,1150,frio,420,160,7.9,58
feijao,Zaire,6,2024,1700,chuva,470,210,8.2,70
feijao,Uige,1,2025,1600,chuva,460,200,8.1,68
feijao,Uige,1,2025,1850,chuva,500,240,8.5,80
feijao,Luanda,1,2026,1900,chuva,500,230,8.8,80

tomate,Luanda,1,2024,1500,chuva,400,220,8.2,75
tomate,Benguela,2,2024,1300,sol,380,200,8.1,70
tomate,Huambo,3,2024,1200,frio,350,180,8.0,65
tomate,Huila,4,2024,1400,sol,370,190,8.1,68
tomate,Moxico,5,2024,1600,chuva,390,210,8.2,72
tomate,Lunda_Sul,6,2024,1700,chuva,360,220,8.3,74
tomate,Malanje,7,2024,1550,chuva,410,200,8.2,73
tomate,Uige,8,2024,1650,chuva,420,210,8.3,76
tomate,Cabinda,9,2024,1800,chuva,430,230,8.4,78
tomate,Namibe,10,2024,1350,sol,390,190,8.1,69
tomate,Bie,11,2024,1250,frio,360,180,8.0,66
tomate,Zaire,12,2024,1750,chuva,400,220,8.3,75

tomate,Luanda,1,2025,1850,chuva,450,240,8.4,80
tomate,Benguela,1,2025,1600,sol,420,210,8.2,75
tomate,Huambo,1,2025,1500,frio,400,200,8.1,72

tomate,Luanda,1,2026,2200,chuva,500,260,8.8,85

mandioca,Luanda,1,2024,900,chuva,600,180,8.2,70
mandioca,Benguela,2,2024,850,sol,580,170,8.1,68
mandioca,Huambo,3,2024,800,frio,550,160,8.0,65
mandioca,Huila,4,2024,870,sol,570,165,8.1,67
mandioca,Moxico,5,2024,920,chuva,590,175,8.2,69
mandioca,Lunda_Sul,6,2024,950,chuva,560,180,8.3,70
mandioca,Malanje,7,2024,910,chuva,620,170,8.2,72
mandioca,Uige,8,2024,930,chuva,630,175,8.3,73
mandioca,Cabinda,9,2024,980,chuva,640,190,8.4,75
mandioca,Namibe,10,2024,880,sol,600,165,8.1,68
mandioca,Bie,11,2024,820,frio,570,160,8.0,66
mandioca,Zaire,12,2024,960,chuva,610,180,8.3,72

mandioca,Luanda,1,2025,1000,chuva,650,190,8.4,75
mandioca,Benguela,1,2025,920,sol,620,180,8.2,72
mandioca,Huambo,1,2025,880,frio,600,170,8.1,70

mandioca,Luanda,1,2026,1200,chuva,700,200,8.8,80

cebola,Luanda,1,2024,1400,chuva,450,210,8.2,75
cebola,Benguela,2,2024,1200,sol,430,190,8.1,70
cebola,Huambo,3,2024,1100,frio,400,180,8.0,65
cebola,Huila,4,2024,1250,sol,420,185,8.1,68
cebola,Moxico,5,2024,1350,chuva,410,200,8.2,72
cebola,Lunda_Sul,6,2024,1450,chuva,390,210,8.3,74
cebola,Malanje,7,2024,1300,chuva,460,195,8.2,73
cebola,Uige,8,2024,1380,chuva,470,200,8.3,76
cebola,Cabinda,9,2024,1500,chuva,480,220,8.4,78
cebola,Namibe,10,2024,1180,sol,440,185,8.1,69
cebola,Bie,11,2024,1120,frio,420,180,8.0,66
cebola,Zaire,12,2024,1480,chuva,450,210,8.3,75

cebola,Luanda,1,2025,1600,chuva,500,220,8.4,80
cebola,Benguela,1,2025,1400,sol,470,200,8.2,75
cebola,Huambo,1,2025,1300,frio,450,190,8.1,72

cebola,Luanda,1,2026,1900,chuva,550,240,8.8,85

milho,Benguela,1,2024,1000,limpo,480,180,8.0,60
milho,Huila,2,2024,1100,limpo,430,160,7.9,55

arroz,Benguela,2,2024,1800,limpo,580,240,8.1,75
arroz,Namibe,4,2024,2100,limpo,600,260,8.3,78

tomate,Benguela,2,2024,1300,limpo,380,200,8.1,70
tomate,Huila,4,2024,1400,limpo,370,190,8.1,68
tomate,Namibe,10,2024,1350,limpo,390,190,8.1,69

mandioca,Benguela,2,2024,850,limpo,580,170,8.1,68
mandioca,Huila,4,2024,870,limpo,570,165,8.1,67
mandioca,Namibe,10,2024,880,limpo,600,165,8.1,68

cebola,Benguela,2,2024,1200,limpo,430,190,8.1,70
cebola,Huila,4,2024,1250,limpo,420,185,8.1,68
cebola,Namibe,10,2024,1180,limpo,440,185,8.1,69
